id,title,viewCount,pull_date,publishTime
se50viFJ0AQ,Would You Fly To Paris For A Baguette?,1620357191.0,2025-09-24 00:03:15.724526+00:00,2022-12-08 20:12:27+00:00
YlvcFJOE-OE,Giving iPhones Instead Of Candy on Halloween,1569192766.0,2025-09-24 00:03:15.724526+00:00,2022-11-02 21:00:01+00:00
IQxea9UB1nQ,"$100,000,000 Car Doors",1186290758.0,2025-08-18 00:04:33.009006+00:00,2023-09-19 17:00:00+00:00
L5kIXRdwGAI,Katana Vs Bullet,1079900797.0,2025-09-24 00:03:15.724526+00:00,2023-09-07 17:00:01+00:00
0e3GPea1Tyg,"$456,000 Squid Game In Real Life!",876009287.0,2025-09-22 00:05:48.981785+00:00,2021-11-24 21:00:01+00:00
AZlBZuS4hr0,"Guess The Gift, Keep It",869503870.0,2025-08-06 00:03:02.430098+00:00,2023-10-03 17:00:00+00:00
8kggT2ej-lo,Would You Pet a Cheetah in Africa?,806438621.0,2025-05-16 00:04:24.186580+00:00,2023-05-01 20:00:02+00:00
FD-0KG-h2-c,Gordon Ramsay Tries Most Expensive Chocolate Bar!,706102836.0,2025-05-16 00:04:24.186580+00:00,2022-11-19 20:59:59+00:00
Gx6VeIIbWwM,"Spot The Hidden People For $10,000",686668984.0,2025-04-07 00:04:51.143965+00:00,2023-09-28 17:00:01+00:00
Jo7sfpeWqwE,Will A Guitar Boat Hold My Weight?,678607466.0,2025-05-04 00:04:53.053891+00:00,2024-09-05 16:00:01+00:00
