word,count
funny,3603
comedy,2931
how to,1604
music,1302
Pop,1280
2018,1275
humor,1185
food,1159
science,1111
review,1005
makeup,990
news,988
celebrity,930
vlog,928
video,890
tutorial,864
live,862
comedian,861
interview,845
cooking,802
television,779
celebrities,769
fun,737
movie,734
cute,730
family friendly,719
Comedy,716
trailer,711
Trailer,702
beauty,695
official,690
2017,676
NBC,675
hollywood,675
funny video,673
challenge,659
animation,654
entertainment,653
education,649
Records,647
sports,645
late night,627
jokes,626
diy,622
recipe,617
animals,593
basketball,593
makeup tutorial,583
sketch,575
